gene,environment,solution,haploinsufficiency,flux
YDR300C,glc,optimal,-0.083667,0.04941
YMR250W,glc,optimal,-0.000864,0.0
YDL215C,glc,optimal,-0.048022,0.612462
YHL032C,glc,optimal,0.018826,0.0
YLR299W,glc,optimal,0.032588,0.0
YGR267C,glc,optimal,0.026401,0.0
YDL205C,glc,optimal,0.019007,0.0
YNL277W,glc,optimal,0.016517,0.01521
YPL040C,glc,optimal,0.028787,0.0
YBL098W,glc,optimal,0.01368,0.0
YPR006C,glc,optimal,-0.01557,0.0
YOL126C,glc,optimal,-0.017959,2.8205
YHR046C,glc,optimal,0.019372,0.00159
YCR012W,glc,optimal,-0.011305,-4.40048
YPL268W,glc,optimal,0.018199,0.0
YER053C,glc,optimal,0.01863,-985.991
YMR220W,glc,optimal,0.015913,0.00396
YCR028C,glc,optimal,-0.062896,0.0
YIL020C,glc,optimal,-0.018295,0.01989
YNL169C,glc,optimal,0.012446,0.00315
YOL143C,glc,optimal,0.014662,0.0
YGR175C,glc,optimal,0.014398,0.00066
YIL162W,glc,optimal,-0.022648,0.0
YEL046C,glc,optimal,0.020257,0.11523
YDR050C,glc,optimal,-0.022823,2.23373
YPR026W,glc,optimal,-0.038541,0.0
YDR047W,glc,optimal,0.02076,0.0
YBR021W,glc,optimal,-0.070071,0.0
YBR265W,glc,suboptimal,0.02147,0.0
YJR025C,glc,suboptimal,-0.013804,0.0
YNR033W,glc,suboptimal,-0.027643,1.13687e-13
YDL052C,glc,suboptimal,-0.049125,0.00741
YDR481C,glc,suboptimal,-0.047088,0.0
YDR232W,glc,suboptimal,0.023667,0.0
YNR058W,glc,suboptimal,0.012482,0.0
YCR024C,glc,suboptimal,-0.050671,0.0
YGL012W,glc,suboptimal,-0.036634,0.00021
YGR088W,glc,suboptimal,0.015192,1.19875
YPR060C,glc,suboptimal,0.0276,0.07077
YGL148W,glc,suboptimal,-0.01935,0.07929
YDR044W,glc,suboptimal,0.024577,0.0
YCR005C,glc,suboptimal,-0.0288,0.0
