gene,environment,energy,type,reaction,
YOR176W,EX_nh4(e),respiratory,zero flux,591,
YOR176W,EX_nh4(e),fermentative,zero flux,591,
YOR176W,EX_glc(e),respiratory,zero flux,591,
YOR176W,EX_glc(e),fermentative,zero flux,591,
YOR202W,EX_nh4(e),respiratory,constrained,776,
YOR202W,EX_nh4(e),fermentative,constrained,776,
YOR202W,EX_glc(e),respiratory,constrained,776,
YOR202W,EX_glc(e),fermentative,constrained,776,
YOR278W,EX_nh4(e),respiratory,zero flux,1240,
YOR278W,EX_nh4(e),fermentative,zero flux,1240,
YOR278W,EX_glc(e),respiratory,zero flux,1240,
YOR278W,EX_glc(e),fermentative,zero flux,1240,
YOR335C,EX_nh4(e),respiratory,zero flux,124,
YOR335C,EX_nh4(e),fermentative,zero flux,124,
YOR335C,EX_glc(e),respiratory,zero flux,124,
YOR335C,EX_glc(e),fermentative,zero flux,124,
YPL040C,EX_nh4(e),respiratory,zero flux,781,
YPL040C,EX_nh4(e),fermentative,zero flux,781,
YPL040C,EX_glc(e),respiratory,zero flux,781,
YPL040C,EX_glc(e),fermentative,zero flux,781,
YPL091W,EX_nh4(e),respiratory,zero flux,702,
YPL091W,EX_nh4(e),fermentative,constrained,702,
YPL091W,EX_glc(e),respiratory,zero flux,702,
YPL091W,EX_glc(e),fermentative,zero flux,702,
YPL097W,EX_nh4(e),respiratory,zero flux,1228,
YPL097W,EX_nh4(e),fermentative,zero flux,1228,
YPL097W,EX_glc(e),respiratory,zero flux,1228,
YPL097W,EX_glc(e),fermentative,zero flux,1228,
YPL104W,EX_nh4(e),respiratory,zero flux,186,
YPL104W,EX_nh4(e),fermentative,zero flux,186,
YPL104W,EX_glc(e),respiratory,zero flux,186,
YPL104W,EX_glc(e),fermentative,zero flux,186,
YPL111W,EX_nh4(e),respiratory,zero flux,161,
YPL111W,EX_nh4(e),fermentative,zero flux,161,
YPL111W,EX_glc(e),respiratory,zero flux,161,
YPL111W,EX_glc(e),fermentative,zero flux,161,
YPL117C,EX_nh4(e),respiratory,variable,796,
YPL117C,EX_nh4(e),fermentative,constrained,796,
YPL117C,EX_glc(e),respiratory,constrained,796,
YPL117C,EX_glc(e),fermentative,constrained,796,
YPL148C,EX_nh4(e),respiratory,zero flux,72,
YPL148C,EX_nh4(e),fermentative,zero flux,72,
YPL148C,EX_glc(e),respiratory,zero flux,72,
YPL148C,EX_glc(e),fermentative,zero flux,72,
YPL160W,EX_nh4(e),respiratory,zero flux,812,
YPL160W,EX_nh4(e),fermentative,zero flux,812,
YPL160W,EX_glc(e),respiratory,zero flux,812,
YPL160W,EX_glc(e),fermentative,zero flux,812,
YPL266W,EX_nh4(e),respiratory,zero flux,952,
YPL266W,EX_nh4(e),fermentative,zero flux,952,
YPL266W,EX_glc(e),respiratory,zero flux,952,
YPL266W,EX_glc(e),fermentative,zero flux,952,
YPL268W,EX_nh4(e),respiratory,zero flux,1016,
YPL268W,EX_nh4(e),fermentative,zero flux,1016,
YPL268W,EX_glc(e),respiratory,zero flux,1016,
YPL268W,EX_glc(e),fermentative,zero flux,1016,
YPL274W,EX_nh4(e),respiratory,zero flux,143,
YPL274W,EX_nh4(e),fermentative,zero flux,143,
YPL274W,EX_glc(e),respiratory,zero flux,143,
YPL274W,EX_glc(e),fermentative,zero flux,143,
YPR006C,EX_nh4(e),respiratory,zero flux,838,
YPR006C,EX_nh4(e),fermentative,zero flux,838,
YPR006C,EX_glc(e),respiratory,zero flux,838,
YPR006C,EX_glc(e),fermentative,zero flux,838,
YPR026W,EX_nh4(e),respiratory,variable,1212,
YPR026W,EX_nh4(e),fermentative,zero flux,1212,
YPR026W,EX_glc(e),respiratory,zero flux,1212,
YPR026W,EX_glc(e),fermentative,zero flux,1212,
YPR035W,EX_nh4(e),respiratory,constrained,664,
YPR035W,EX_nh4(e),fermentative,constrained,664,
YPR035W,EX_glc(e),respiratory,constrained,664,
YPR035W,EX_glc(e),fermentative,variable,664,
YPR047W,EX_nh4(e),respiratory,zero flux,1012,
YPR047W,EX_nh4(e),fermentative,zero flux,1012,
YPR047W,EX_glc(e),respiratory,zero flux,1012,
YPR047W,EX_glc(e),fermentative,zero flux,1012,
YPR060C,EX_nh4(e),respiratory,constrained,238,
YPR060C,EX_nh4(e),fermentative,constrained,238,
YPR060C,EX_glc(e),respiratory,constrained,238,
YPR060C,EX_glc(e),fermentative,constrained,238,
YPR062W,EX_nh4(e),respiratory,zero flux,268,
YPR062W,EX_nh4(e),fermentative,zero flux,268,
YPR062W,EX_glc(e),respiratory,zero flux,268,
YPR062W,EX_glc(e),fermentative,zero flux,268,
YPR069C,EX_nh4(e),respiratory,zero flux,1157,
YPR069C,EX_nh4(e),fermentative,zero flux,1157,
YPR069C,EX_glc(e),respiratory,zero flux,1157,
YPR069C,EX_glc(e),fermentative,zero flux,1157,
YPR113W,EX_nh4(e),respiratory,constrained,1021,
YPR113W,EX_nh4(e),fermentative,constrained,1021,
YPR113W,EX_glc(e),respiratory,constrained,1021,
YPR113W,EX_glc(e),fermentative,constrained,1021,
YPR160W,EX_nh4(e),respiratory,zero flux,660,
YPR160W,EX_nh4(e),fermentative,zero flux,660,
YPR160W,EX_glc(e),respiratory,zero flux,660,
YPR160W,EX_glc(e),fermentative,zero flux,660,
YPR167C,EX_nh4(e),respiratory,constrained,975,
YPR167C,EX_nh4(e),fermentative,constrained,975,
YPR167C,EX_glc(e),respiratory,constrained,975,
YPR167C,EX_glc(e),fermentative,variable,975,
YPR183W,EX_nh4(e),respiratory,constrained,345,
YPR183W,EX_nh4(e),fermentative,constrained,345,
YPR183W,EX_glc(e),respiratory,constrained,345,
YPR183W,EX_glc(e),fermentative,constrained,345,
