gene,environment,solution,constraint,essential
YIR029W,glc,suboptimal,zero flux,viable
YIR027C,glc,suboptimal,zero flux,viable
YIR028W,glc,suboptimal,zero flux,viable
YJR152W,glc,suboptimal,zero flux,viable
YNR058W,glc,suboptimal,zero flux,viable
YPL274W,glc,suboptimal,zero flux,viable
YDR354W,glc,suboptimal,constrained,viable
YDR305C,glc,suboptimal,zero flux,viable
YPL111W,glc,suboptimal,zero flux,viable
YHR018C,glc,suboptimal,constrained,viable
YOL058W,glc,suboptimal,constrained,viable
YDR341C,glc,suboptimal,zero flux,inviable
YHR091C,glc,suboptimal,zero flux,viable
YBR034C,glc,suboptimal,zero flux,viable
YDR158W,glc,suboptimal,zero flux,viable
YDR321W,glc,suboptimal,zero flux,viable
YHR019C,glc,suboptimal,zero flux,inviable
YCR024C,glc,suboptimal,zero flux,viable
YER052C,glc,suboptimal,zero flux,viable
YLL018C,glc,suboptimal,zero flux,inviable
YPL104W,glc,suboptimal,zero flux,viable
YDR530C,glc,suboptimal,zero flux,viable
YER055C,glc,suboptimal,constrained,viable
YOL064C,glc,suboptimal,variable,viable
YGR286C,glc,suboptimal,zero flux,viable
YNL280C,glc,suboptimal,constrained,viable
YMR015C,glc,suboptimal,zero flux,viable
YGL012W,glc,suboptimal,constrained,viable
YLR056W,glc,suboptimal,zero flux,viable
YMR202W,glc,suboptimal,zero flux,viable
YGR088W,glc,suboptimal,variable,viable
YDR256C,glc,suboptimal,zero flux,viable
YCL004W,glc,suboptimal,zero flux,inviable
YGR202C,glc,suboptimal,zero flux,viable
YGL077C,glc,suboptimal,zero flux,viable
YLR133W,glc,suboptimal,zero flux,viable
YPR060C,glc,suboptimal,constrained,viable
YGL148W,glc,suboptimal,constrained,viable
YDL142C,glc,suboptimal,zero flux,viable
YDR044W,glc,suboptimal,zero flux,inviable
YOR100C,glc,suboptimal,zero flux,viable
YBR132C,glc,suboptimal,zero flux,viable
YAR035W,glc,suboptimal,zero flux,viable
YPR062W,glc,suboptimal,zero flux,viable
YCR005C,glc,suboptimal,zero flux,viable
YGR012W,glc,suboptimal,variable,viable
YAL012W,glc,suboptimal,variable,viable
YFR055W,glc,suboptimal,variable,viable
YNL247W,glc,suboptimal,zero flux,inviable
YGR155W,glc,suboptimal,zero flux,viable
YNR057C,glc,suboptimal,zero flux,viable
YLR420W,glc,suboptimal,zero flux,viable
YLR172C,glc,suboptimal,zero flux,viable
YOL096C,glc,suboptimal,zero flux,viable
YDL100C,glc,suboptimal,constrained,viable
YMR013C,glc,suboptimal,zero flux,inviable
YPR183W,glc,suboptimal,constrained,inviable
YNR043W,glc,suboptimal,constrained,inviable
YJR057W,glc,suboptimal,zero flux,inviable
YBR252W,glc,suboptimal,zero flux,inviable
YHR068W,glc,suboptimal,zero flux,inviable
YDL174C,glc,suboptimal,zero flux,viable
YDR147W,glc,suboptimal,zero flux,viable
YIL134W,glc,suboptimal,zero flux,viable
YLR372W,glc,suboptimal,zero flux,viable
YLR377C,glc,suboptimal,zero flux,viable
YJL155C,glc,suboptimal,zero flux,viable
YOR176W,glc,suboptimal,zero flux,inviable
YBL013W,glc,suboptimal,zero flux,viable
YDL045C,glc,suboptimal,zero flux,inviable
YEL047C,glc,suboptimal,variable,viable
YJR051W,glc,suboptimal,zero flux,viable
YER183C,glc,suboptimal,zero flux,viable
YDL022W,glc,suboptimal,zero flux,viable
YOL059W,glc,suboptimal,zero flux,viable
YIL155C,glc,suboptimal,zero flux,viable
YNL241C,glc,suboptimal,zero flux,viable
YBR020W,glc,suboptimal,zero flux,viable
YDR408C,glc,suboptimal,constrained,viable
YEL011W,glc,suboptimal,zero flux,viable
YLR058C,glc,suboptimal,variable,viable
YBR263W,glc,suboptimal,variable,viable
YPR160W,glc,suboptimal,zero flux,viable
YPR035W,glc,suboptimal,constrained,inviable
YOR168W,glc,suboptimal,zero flux,inviable
YLR195C,glc,suboptimal,zero flux,inviable
YDR300C,glc,suboptimal,variable,viable
YJL101C,glc,suboptimal,zero flux,viable
YMR250W,glc,suboptimal,zero flux,viable
YDL215C,glc,suboptimal,zero flux,viable
YMR300C,glc,suboptimal,constrained,viable
YDL171C,glc,suboptimal,zero flux,viable
YGL245W,glc,suboptimal,zero flux,inviable
YOL033W,glc,suboptimal,zero flux,viable
YLL043W,glc,suboptimal,zero flux,viable
YHL032C,glc,suboptimal,zero flux,viable
YDR272W,glc,suboptimal,zero flux,viable
YOR040W,glc,suboptimal,zero flux,viable
YMR217W,glc,suboptimal,constrained,viable
YPL091W,glc,suboptimal,zero flux,viable
YOL049W,glc,suboptimal,zero flux,viable
YLR299W,glc,suboptimal,zero flux,viable
YBL033C,glc,suboptimal,zero flux,viable
YGR267C,glc,suboptimal,constrained,inviable
YDR234W,glc,suboptimal,constrained,viable
YFR025C,glc,suboptimal,constrained,viable
YDL205C,glc,suboptimal,zero flux,inviable
YNL277W,glc,suboptimal,zero flux,viable
YHR025W,glc,suboptimal,zero flux,viable
YIL116W,glc,suboptimal,constrained,viable
YLR174W,glc,suboptimal,zero flux,viable
YDL066W,glc,suboptimal,variable,viable
YNL009W,glc,suboptimal,zero flux,viable
YER065C,glc,suboptimal,zero flux,viable
YBR248C,glc,suboptimal,constrained,viable
YOR202W,glc,suboptimal,constrained,viable
YBL076C,glc,suboptimal,zero flux,inviable
YPL040C,glc,suboptimal,zero flux,viable
YDR380W,glc,suboptimal,zero flux,viable
YPL117C,glc,suboptimal,constrained,inviable
YBL098W,glc,suboptimal,zero flux,viable
YPL160W,glc,suboptimal,zero flux,inviable
YLR382C,glc,suboptimal,zero flux,viable
YML004C,glc,suboptimal,zero flux,viable
YHR007C,glc,suboptimal,constrained,inviable
YHR072W,glc,suboptimal,constrained,inviable
YDR037W,glc,suboptimal,zero flux,inviable
YNL073W,glc,suboptimal,zero flux,viable
YML054C,glc,suboptimal,zero flux,viable
YDL055C,glc,suboptimal,constrained,inviable
YER003C,glc,suboptimal,constrained,inviable
YPR006C,glc,suboptimal,zero flux,viable
YOL126C,glc,suboptimal,variable,viable
YKL085W,glc,suboptimal,variable,viable
YDL078C,glc,suboptimal,zero flux,viable
YJR130C,glc,suboptimal,zero flux,viable
YGR264C,glc,suboptimal,zero flux,inviable
YGR171C,glc,suboptimal,zero flux,viable
YHR046C,glc,suboptimal,constrained,viable
YJL153C,glc,suboptimal,constrained,viable
YLL061W,glc,suboptimal,zero flux,viable
YBR176W,glc,suboptimal,zero flux,viable
YKR080W,glc,suboptimal,variable,viable
YGL067W,glc,suboptimal,zero flux,viable
YLR138W,glc,suboptimal,zero flux,viable
YEL042W,glc,suboptimal,zero flux,viable
YGR010W,glc,suboptimal,zero flux,viable
YKL120W,glc,suboptimal,at maximum,viable
YJL088W,glc,suboptimal,constrained,viable
YPL266W,glc,suboptimal,zero flux,inviable
YML110C,glc,suboptimal,zero flux,viable
YDR538W,glc,suboptimal,zero flux,viable
YKL184W,glc,suboptimal,zero flux,viable
YLR438W,glc,suboptimal,variable,viable
YOR130C,glc,suboptimal,variable,viable
YIL145C,glc,suboptimal,zero flux,viable
YPR167C,glc,suboptimal,constrained,viable
YKR093W,glc,suboptimal,zero flux,viable
YGR007W,glc,suboptimal,zero flux,viable
YGR157W,glc,suboptimal,constrained,viable
YCR012W,glc,suboptimal,variable,inviable
YPR047W,glc,suboptimal,zero flux,viable
YPL268W,glc,suboptimal,zero flux,viable
YPR113W,glc,suboptimal,constrained,inviable
YJR077C,glc,suboptimal,at maximum,viable
YER053C,glc,suboptimal,variable,viable
YFL045C,glc,suboptimal,constrained,inviable
YMR220W,glc,suboptimal,constrained,inviable
YDR531W,glc,suboptimal,zero flux,inviable
YCR028C,glc,suboptimal,zero flux,viable
YBR011C,glc,suboptimal,constrained,inviable
YMR267W,glc,suboptimal,zero flux,viable
YGL040C,glc,suboptimal,zero flux,inviable
YKR097W,glc,suboptimal,zero flux,viable
YBR166C,glc,suboptimal,variable,viable
YNL316C,glc,suboptimal,constrained,viable
YER014W,glc,suboptimal,zero flux,viable
YDR007W,glc,suboptimal,constrained,viable
YAR015W,glc,suboptimal,constrained,viable
YGR061C,glc,suboptimal,constrained,viable
YIL020C,glc,suboptimal,constrained,viable
YLR142W,glc,suboptimal,zero flux,viable
YNL169C,glc,suboptimal,variable,viable
YGR208W,glc,suboptimal,variable,viable
YOL143C,glc,suboptimal,zero flux,viable
YBR256C,glc,suboptimal,zero flux,inviable
YJL121C,glc,suboptimal,variable,viable
YOR095C,glc,suboptimal,constrained,inviable
YNR050C,glc,suboptimal,constrained,viable
YIR034C,glc,suboptimal,constrained,viable
YJR010W,glc,suboptimal,zero flux,viable
YML008C,glc,suboptimal,zero flux,viable
YJL068C,glc,suboptimal,zero flux,viable
YML082W,glc,suboptimal,at maximum,viable
YPR069C,glc,suboptimal,zero flux,viable
YLR146C,glc,suboptimal,zero flux,viable
YGR175C,glc,suboptimal,constrained,inviable
YHR190W,glc,suboptimal,constrained,inviable
YIL162W,glc,suboptimal,zero flux,viable
YEL046C,glc,suboptimal,variable,viable
YER086W,glc,suboptimal,constrained,viable
YIL078W,glc,suboptimal,zero flux,inviable
YKL194C,glc,suboptimal,zero flux,viable
YOR074C,glc,suboptimal,constrained,inviable
YDR050C,glc,suboptimal,variable,inviable
YDR353W,glc,suboptimal,constrained,inviable
YHR106W,glc,suboptimal,zero flux,viable
YPR026W,glc,suboptimal,zero flux,viable
YJR078W,glc,suboptimal,zero flux,viable
YGL026C,glc,suboptimal,constrained,viable
YOL097C,glc,suboptimal,zero flux,inviable
YDR268W,glc,suboptimal,zero flux,viable
YGR185C,glc,suboptimal,zero flux,inviable
YPL097W,glc,suboptimal,zero flux,viable
YDL103C,glc,suboptimal,zero flux,inviable
YBR019C,glc,suboptimal,zero flux,viable
YIR032C,glc,suboptimal,zero flux,viable
YKR069W,glc,suboptimal,zero flux,viable
YOR278W,glc,suboptimal,zero flux,inviable
YDR047W,glc,suboptimal,zero flux,inviable
YBR021W,glc,suboptimal,zero flux,viable
YHL016C,glc,suboptimal,zero flux,viable
YBL042C,glc,suboptimal,zero flux,viable
YJR133W,glc,suboptimal,zero flux,viable
YGR194C,glc,suboptimal,zero flux,viable
YLR070C,glc,suboptimal,zero flux,viable
YGR282C,sul,optimal,zero flux,viable
YBR265W,sul,optimal,zero flux,inviable
YJR025C,sul,optimal,zero flux,viable
YGR019W,sul,optimal,zero flux,viable
YFL017C,sul,optimal,zero flux,inviable
YBL015W,sul,optimal,variable,viable
YPL148C,sul,optimal,zero flux,viable
YLR153C,sul,optimal,zero flux,inviable
YCR032W,sul,optimal,zero flux,viable
YNR033W,sul,optimal,zero flux,viable
YOL052C,sul,optimal,zero flux,viable
YJL005W,sul,optimal,zero flux,inviable
YJR105W,sul,optimal,zero flux,viable
YKL001C,sul,optimal,constrained,viable
YDL052C,sul,optimal,constrained,viable
YFL030W,sul,optimal,zero flux,viable
YER043C,sul,optimal,constrained,inviable
YOR128C,sul,optimal,constrained,viable
YDR481C,sul,optimal,zero flux,viable
YDR232W,sul,optimal,zero flux,inviable
YDR111C,sul,optimal,variable,viable
YLR089C,sul,optimal,zero flux,viable
YOR335C,sul,optimal,zero flux,inviable
YMR083W,sul,optimal,variable,viable
YIR029W,sul,optimal,zero flux,viable
YIR027C,sul,optimal,zero flux,viable
YIR028W,sul,optimal,zero flux,viable
YJR152W,sul,optimal,zero flux,viable
YNR058W,sul,optimal,zero flux,viable
YPL274W,sul,optimal,zero flux,viable
YDR354W,sul,optimal,constrained,viable
YDR305C,sul,optimal,zero flux,viable
YPL111W,sul,optimal,zero flux,viable
YHR018C,sul,optimal,constrained,viable
YOL058W,sul,optimal,constrained,viable
YDR341C,sul,optimal,zero flux,inviable
YHR091C,sul,optimal,zero flux,viable
YBR034C,sul,optimal,zero flux,viable
YDR158W,sul,optimal,variable,viable
YDR321W,sul,optimal,zero flux,viable
YHR019C,sul,optimal,zero flux,inviable
YCR024C,sul,optimal,zero flux,viable
YER052C,sul,optimal,variable,viable
YLL018C,sul,optimal,zero flux,inviable
YPL104W,sul,optimal,zero flux,viable
YDR530C,sul,optimal,zero flux,viable
YER055C,sul,optimal,constrained,viable
YOL064C,sul,optimal,variable,viable
YGR286C,sul,optimal,zero flux,viable
YNL280C,sul,optimal,constrained,viable
YMR015C,sul,optimal,zero flux,viable
YGL012W,sul,optimal,constrained,viable
YLR056W,sul,optimal,zero flux,viable
YMR202W,sul,optimal,zero flux,viable
YGR088W,sul,optimal,variable,viable
YDR256C,sul,optimal,zero flux,viable
YCL004W,sul,optimal,zero flux,inviable
YGR202C,sul,optimal,zero flux,viable
YGL077C,sul,optimal,zero flux,viable
YLR133W,sul,optimal,zero flux,viable
YPR060C,sul,optimal,constrained,viable
YGL148W,sul,optimal,constrained,viable
YDL142C,sul,optimal,zero flux,viable
YDR044W,sul,optimal,zero flux,inviable
YOR100C,sul,optimal,zero flux,viable
YBR132C,sul,optimal,zero flux,viable
YAR035W,sul,optimal,zero flux,viable
YPR062W,sul,optimal,zero flux,viable
YCR005C,sul,optimal,zero flux,viable
YGR012W,sul,optimal,constrained,viable
YAL012W,sul,optimal,at maximum,viable
YFR055W,sul,optimal,zero flux,viable
YNL247W,sul,optimal,zero flux,inviable
YGR155W,sul,optimal,zero flux,viable
YNR057C,sul,optimal,zero flux,viable
YLR420W,sul,optimal,zero flux,viable
YLR172C,sul,optimal,zero flux,viable
YOL096C,sul,optimal,zero flux,viable
YDL100C,sul,optimal,zero flux,viable
YMR013C,sul,optimal,zero flux,inviable
YPR183W,sul,optimal,constrained,inviable
YNR043W,sul,optimal,constrained,inviable
YJR057W,sul,optimal,zero flux,inviable
YBR252W,sul,optimal,zero flux,inviable
YHR068W,sul,optimal,zero flux,inviable
YDL174C,sul,optimal,zero flux,viable
YDR147W,sul,optimal,zero flux,viable
YIL134W,sul,optimal,constrained,viable
YLR372W,sul,optimal,zero flux,viable
YLR377C,sul,optimal,variable,viable
YJL155C,sul,optimal,zero flux,viable
YOR176W,sul,optimal,zero flux,inviable
YBL013W,sul,optimal,zero flux,viable
YDL045C,sul,optimal,constrained,inviable
YEL047C,sul,optimal,zero flux,viable
YJR051W,sul,optimal,zero flux,viable
YER183C,sul,optimal,zero flux,viable
YDL022W,sul,optimal,variable,viable
YOL059W,sul,optimal,zero flux,viable
YIL155C,sul,optimal,variable,viable
YNL241C,sul,optimal,variable,viable
YBR020W,sul,optimal,zero flux,viable
YDR408C,sul,optimal,constrained,viable
YEL011W,sul,optimal,zero flux,viable
YLR058C,sul,optimal,variable,viable
YBR263W,sul,optimal,at maximum,viable
YPR160W,sul,optimal,zero flux,viable
YPR035W,sul,optimal,constrained,inviable
YOR168W,sul,optimal,zero flux,inviable
YLR195C,sul,optimal,zero flux,inviable
YDR300C,sul,optimal,variable,viable
YJL101C,sul,optimal,zero flux,viable
YMR250W,sul,optimal,zero flux,viable
YDL215C,sul,optimal,variable,viable
YMR300C,sul,optimal,constrained,viable
YDL171C,sul,optimal,zero flux,viable
YGL245W,sul,optimal,zero flux,inviable
YOL033W,sul,optimal,zero flux,viable
YLL043W,sul,optimal,zero flux,viable
YHL032C,sul,optimal,zero flux,viable
YDR272W,sul,optimal,zero flux,viable
YOR040W,sul,optimal,zero flux,viable
YMR217W,sul,optimal,constrained,viable
YPL091W,sul,optimal,zero flux,viable
YOL049W,sul,optimal,zero flux,viable
YLR299W,sul,optimal,zero flux,viable
YBL033C,sul,optimal,zero flux,viable
YGR267C,sul,optimal,zero flux,inviable
YDR234W,sul,optimal,constrained,viable
YFR025C,sul,optimal,constrained,viable
YDL205C,sul,optimal,zero flux,inviable
YNL277W,sul,optimal,variable,viable
YHR025W,sul,optimal,zero flux,viable
YIL116W,sul,optimal,constrained,viable
YLR174W,sul,optimal,variable,viable
YDL066W,sul,optimal,variable,viable
YNL009W,sul,optimal,zero flux,viable
YER065C,sul,optimal,zero flux,viable
YBR248C,sul,optimal,constrained,viable
YOR202W,sul,optimal,constrained,viable
YBL076C,sul,optimal,zero flux,inviable
YPL040C,sul,optimal,zero flux,viable
YDR380W,sul,optimal,zero flux,viable
YPL117C,sul,optimal,constrained,inviable
YBL098W,sul,optimal,zero flux,viable
YPL160W,sul,optimal,zero flux,inviable
YLR382C,sul,optimal,zero flux,viable
YML004C,sul,optimal,zero flux,viable
YHR007C,sul,optimal,constrained,inviable
YHR072W,sul,optimal,constrained,inviable
YDR037W,sul,optimal,zero flux,inviable
YNL073W,sul,optimal,zero flux,viable
YML054C,sul,optimal,zero flux,viable
YDL055C,sul,optimal,constrained,inviable
YER003C,sul,optimal,constrained,inviable
YPR006C,sul,optimal,zero flux,viable
YOL126C,sul,optimal,variable,viable
YKL085W,sul,optimal,variable,viable
YDL078C,sul,optimal,zero flux,viable
YJR130C,sul,optimal,zero flux,viable
YGR264C,sul,optimal,zero flux,inviable
YGR171C,sul,optimal,zero flux,viable
YHR046C,sul,optimal,constrained,viable
YJL153C,sul,optimal,constrained,viable
YLL061W,sul,optimal,zero flux,viable
YBR176W,sul,optimal,zero flux,viable
YKR080W,sul,optimal,zero flux,viable
YGL067W,sul,optimal,zero flux,viable
YLR138W,sul,optimal,zero flux,viable
YEL042W,sul,optimal,zero flux,viable
YGR010W,sul,optimal,zero flux,viable
YKL120W,sul,optimal,variable,viable
YJL088W,sul,optimal,constrained,viable
YPL266W,sul,optimal,zero flux,inviable
YML110C,sul,optimal,zero flux,viable
YDR538W,sul,optimal,zero flux,viable
YKL184W,sul,optimal,zero flux,viable
YLR438W,sul,optimal,zero flux,viable
YOR130C,sul,optimal,constrained,viable
YIL145C,sul,optimal,zero flux,viable
YPR167C,sul,optimal,constrained,viable
YKR093W,sul,optimal,zero flux,viable
YGR007W,sul,optimal,zero flux,viable
YGR157W,sul,optimal,constrained,viable
YCR012W,sul,optimal,variable,inviable
YPR047W,sul,optimal,zero flux,viable
YPL268W,sul,optimal,zero flux,viable
YPR113W,sul,optimal,constrained,inviable
YJR077C,sul,optimal,variable,viable
YER053C,sul,optimal,at maximum,viable
YFL045C,sul,optimal,constrained,inviable
YMR220W,sul,optimal,constrained,inviable
YDR531W,sul,optimal,zero flux,inviable
YCR028C,sul,optimal,zero flux,viable
YBR011C,sul,optimal,constrained,inviable
YMR267W,sul,optimal,zero flux,viable
YGL040C,sul,optimal,zero flux,inviable
YKR097W,sul,optimal,zero flux,viable
YBR166C,sul,optimal,variable,viable
YNL316C,sul,optimal,constrained,viable
YER014W,sul,optimal,zero flux,viable
YDR007W,sul,optimal,constrained,viable
YAR015W,sul,optimal,constrained,viable
YGR061C,sul,optimal,constrained,viable
YIL020C,sul,optimal,constrained,viable
YLR142W,sul,optimal,zero flux,viable
YNL169C,sul,optimal,variable,viable
YGR208W,sul,optimal,variable,viable
YOL143C,sul,optimal,zero flux,viable
YBR256C,sul,optimal,zero flux,inviable
YJL121C,sul,optimal,variable,viable
YOR095C,sul,optimal,variable,inviable
YNR050C,sul,optimal,constrained,viable
YIR034C,sul,optimal,constrained,viable
YJR010W,sul,optimal,zero flux,viable
YML008C,sul,optimal,zero flux,viable
YJL068C,sul,optimal,zero flux,viable
YML082W,sul,optimal,at maximum,viable
YPR069C,sul,optimal,zero flux,viable
YLR146C,sul,optimal,zero flux,viable
YGR175C,sul,optimal,constrained,inviable
YHR190W,sul,optimal,constrained,inviable
YIL162W,sul,optimal,zero flux,viable
YEL046C,sul,optimal,variable,viable
YER086W,sul,optimal,constrained,viable
YIL078W,sul,optimal,zero flux,inviable
YKL194C,sul,optimal,zero flux,viable
YOR074C,sul,optimal,constrained,inviable
YDR050C,sul,optimal,variable,inviable
YDR353W,sul,optimal,constrained,inviable
YHR106W,sul,optimal,zero flux,viable
YPR026W,sul,optimal,zero flux,viable
YJR078W,sul,optimal,zero flux,viable
YGL026C,sul,optimal,constrained,viable
YOL097C,sul,optimal,zero flux,inviable
YDR268W,sul,optimal,zero flux,viable
YGR185C,sul,optimal,zero flux,inviable
YPL097W,sul,optimal,zero flux,viable
YDL103C,sul,optimal,zero flux,inviable
YBR019C,sul,optimal,zero flux,viable
YIR032C,sul,optimal,zero flux,viable
YKR069W,sul,optimal,zero flux,viable
YOR278W,sul,optimal,zero flux,inviable
YDR047W,sul,optimal,zero flux,inviable
YBR021W,sul,optimal,zero flux,viable
YHL016C,sul,optimal,zero flux,viable
YBL042C,sul,optimal,zero flux,viable
YJR133W,sul,optimal,zero flux,viable
YGR194C,sul,optimal,zero flux,viable
YLR070C,sul,optimal,zero flux,viable
YGR282C,sul,suboptimal,zero flux,viable
YBR265W,sul,suboptimal,constrained,inviable
YJR025C,sul,suboptimal,zero flux,viable
YGR019W,sul,suboptimal,zero flux,viable
YFL017C,sul,suboptimal,zero flux,inviable
YBL015W,sul,suboptimal,variable,viable
YPL148C,sul,suboptimal,zero flux,viable
YLR153C,sul,suboptimal,zero flux,inviable
YCR032W,sul,suboptimal,zero flux,viable
YNR033W,sul,suboptimal,zero flux,viable
YOL052C,sul,suboptimal,zero flux,viable
YJL005W,sul,suboptimal,zero flux,inviable
YJR105W,sul,suboptimal,variable,viable
YKL001C,sul,suboptimal,constrained,viable
YDL052C,sul,suboptimal,constrained,viable
YFL030W,sul,suboptimal,zero flux,viable
YER043C,sul,suboptimal,constrained,inviable
YOR128C,sul,suboptimal,constrained,viable
YDR481C,sul,suboptimal,zero flux,viable
YDR232W,sul,suboptimal,zero flux,inviable
YDR111C,sul,suboptimal,variable,viable
YLR089C,sul,suboptimal,zero flux,viable
YOR335C,sul,suboptimal,zero flux,inviable
YMR083W,sul,suboptimal,variable,viable
YIR029W,sul,suboptimal,zero flux,viable
YIR027C,sul,suboptimal,zero flux,viable
YIR028W,sul,suboptimal,zero flux,viable
YJR152W,sul,suboptimal,zero flux,viable
YNR058W,sul,suboptimal,zero flux,viable
YPL274W,sul,suboptimal,zero flux,viable
YDR354W,sul,suboptimal,constrained,viable
YDR305C,sul,suboptimal,zero flux,viable
YPL111W,sul,suboptimal,zero flux,viable
YHR018C,sul,suboptimal,constrained,viable
YOL058W,sul,suboptimal,constrained,viable
YDR341C,sul,suboptimal,zero flux,inviable
YHR091C,sul,suboptimal,zero flux,viable
YBR034C,sul,suboptimal,zero flux,viable
YDR158W,sul,suboptimal,variable,viable
YDR321W,sul,suboptimal,zero flux,viable
YHR019C,sul,suboptimal,zero flux,inviable
YCR024C,sul,suboptimal,zero flux,viable
YER052C,sul,suboptimal,variable,viable
YLL018C,sul,suboptimal,zero flux,inviable
YPL104W,sul,suboptimal,zero flux,viable
YDR530C,sul,suboptimal,zero flux,viable
YER055C,sul,suboptimal,constrained,viable
YOL064C,sul,suboptimal,variable,viable
YGR286C,sul,suboptimal,zero flux,viable
YNL280C,sul,suboptimal,constrained,viable
YMR015C,sul,suboptimal,zero flux,viable
YGL012W,sul,suboptimal,constrained,viable
YLR056W,sul,suboptimal,zero flux,viable
YMR202W,sul,suboptimal,zero flux,viable
YGR088W,sul,suboptimal,variable,viable
YDR256C,sul,suboptimal,zero flux,viable
YCL004W,sul,suboptimal,zero flux,inviable
YGR202C,sul,suboptimal,zero flux,viable
YGL077C,sul,suboptimal,zero flux,viable
YLR133W,sul,suboptimal,zero flux,viable
YPR060C,sul,suboptimal,constrained,viable
YGL148W,sul,suboptimal,constrained,viable
YDL142C,sul,suboptimal,zero flux,viable
YDR044W,sul,suboptimal,zero flux,inviable
YOR100C,sul,suboptimal,zero flux,viable
YBR132C,sul,suboptimal,constrained,viable
YAR035W,sul,suboptimal,variable,viable
YPR062W,sul,suboptimal,zero flux,viable
YCR005C,sul,suboptimal,zero flux,viable
YGR012W,sul,suboptimal,variable,viable
YAL012W,sul,suboptimal,at maximum,viable
YFR055W,sul,suboptimal,zero flux,viable
YNL247W,sul,suboptimal,zero flux,inviable
YGR155W,sul,suboptimal,zero flux,viable
YNR057C,sul,suboptimal,zero flux,viable
YLR420W,sul,suboptimal,zero flux,viable
YLR172C,sul,suboptimal,zero flux,viable
YOL096C,sul,suboptimal,zero flux,viable
YDL100C,sul,suboptimal,zero flux,viable
YMR013C,sul,suboptimal,zero flux,inviable
YPR183W,sul,suboptimal,constrained,inviable
YNR043W,sul,suboptimal,constrained,inviable
YJR057W,sul,suboptimal,variable,inviable
YBR252W,sul,suboptimal,zero flux,inviable
YHR068W,sul,suboptimal,zero flux,inviable
YDL174C,sul,suboptimal,zero flux,viable
YDR147W,sul,suboptimal,zero flux,viable
YIL134W,sul,suboptimal,constrained,viable
YLR372W,sul,suboptimal,zero flux,viable
YLR377C,sul,suboptimal,zero flux,viable
YJL155C,sul,suboptimal,zero flux,viable
YOR176W,sul,suboptimal,zero flux,inviable
YBL013W,sul,suboptimal,zero flux,viable
YDL045C,sul,suboptimal,constrained,inviable
YEL047C,sul,suboptimal,variable,viable
YJR051W,sul,suboptimal,zero flux,viable
YER183C,sul,suboptimal,zero flux,viable
YDL022W,sul,suboptimal,variable,viable
YOL059W,sul,suboptimal,zero flux,viable
YIL155C,sul,suboptimal,variable,viable
YNL241C,sul,suboptimal,zero flux,viable
YBR020W,sul,suboptimal,zero flux,viable
YDR408C,sul,suboptimal,constrained,viable
YEL011W,sul,suboptimal,variable,viable
YLR058C,sul,suboptimal,variable,viable
YBR263W,sul,suboptimal,variable,viable
YPR160W,sul,suboptimal,zero flux,viable
YPR035W,sul,suboptimal,constrained,inviable
YOR168W,sul,suboptimal,zero flux,inviable
YLR195C,sul,suboptimal,zero flux,inviable
YDR300C,sul,suboptimal,zero flux,viable
YJL101C,sul,suboptimal,zero flux,viable
YMR250W,sul,suboptimal,zero flux,viable
YDL215C,sul,suboptimal,zero flux,viable
YMR300C,sul,suboptimal,constrained,viable
YDL171C,sul,suboptimal,zero flux,viable
YGL245W,sul,suboptimal,zero flux,inviable
YOL033W,sul,suboptimal,zero flux,viable
YLL043W,sul,suboptimal,variable,viable
YHL032C,sul,suboptimal,zero flux,viable
YDR272W,sul,suboptimal,zero flux,viable
YOR040W,sul,suboptimal,zero flux,viable
YMR217W,sul,suboptimal,constrained,viable
YPL091W,sul,suboptimal,variable,viable
YOL049W,sul,suboptimal,zero flux,viable
YLR299W,sul,suboptimal,zero flux,viable
YBL033C,sul,suboptimal,zero flux,viable
YGR267C,sul,suboptimal,zero flux,inviable
YDR234W,sul,suboptimal,constrained,viable
YFR025C,sul,suboptimal,constrained,viable
YDL205C,sul,suboptimal,zero flux,inviable
YNL277W,sul,suboptimal,variable,viable
YHR025W,sul,suboptimal,zero flux,viable
YIL116W,sul,suboptimal,constrained,viable
YLR174W,sul,suboptimal,zero flux,viable
YDL066W,sul,suboptimal,variable,viable
YNL009W,sul,suboptimal,zero flux,viable
YER065C,sul,suboptimal,zero flux,viable
YBR248C,sul,suboptimal,constrained,viable
YOR202W,sul,suboptimal,constrained,viable
YBL076C,sul,suboptimal,zero flux,inviable
YPL040C,sul,suboptimal,zero flux,viable
YDR380W,sul,suboptimal,zero flux,viable
YPL117C,sul,suboptimal,constrained,inviable
YBL098W,sul,suboptimal,zero flux,viable
YPL160W,sul,suboptimal,zero flux,inviable
YLR382C,sul,suboptimal,zero flux,viable
YML004C,sul,suboptimal,zero flux,viable
YHR007C,sul,suboptimal,constrained,inviable
YHR072W,sul,suboptimal,constrained,inviable
YDR037W,sul,suboptimal,zero flux,inviable
YNL073W,sul,suboptimal,zero flux,viable
YML054C,sul,suboptimal,zero flux,viable
YDL055C,sul,suboptimal,constrained,inviable
YER003C,sul,suboptimal,constrained,inviable
YPR006C,sul,suboptimal,zero flux,viable
YOL126C,sul,suboptimal,variable,viable
YKL085W,sul,suboptimal,at maximum,viable
YDL078C,sul,suboptimal,zero flux,viable
YJR130C,sul,suboptimal,zero flux,viable
YGR264C,sul,suboptimal,zero flux,inviable
