env,change,biomass
ammonium,0.99980000000000,-1.67774659195396
ammonium,0.99990000000000,-1.67774829599426
ammonium,1.00000000000000,-1.67774999997249
ammonium,1.00010000000000,-1.67775170393829
ammonium,1.00020000000000,-1.67775340800344
glucose,0.99980000000000,-3.08250305090367
glucose,0.99990000000000,-3.08250508962283
glucose,1.00000000000000,-3.08250712823427
glucose,1.00010000000000,-3.08250916728853
glucose,1.00020000000000,-3.08251120598374
